title,rating,number_of_reviews,bought_in_last_month,total_price,listed_price,is_sponsored,is_couponed,buy_box_availability
"razer seiren v3 chroma rgb usb microphone: stream & game reactive lighting - tap-to-mute sensor - condenser mic - digital gain limiter & shock absorber - pc, discord, obs studio, xsplit - quartz pink",4.5,171,200,134.39,134.39,1,no,1
"fila smart watch for men women (answer/make calls), 1.95"" fitness watch with heart rate/sleep monitor, step counter, fitness tracker with 100+ sports for android ios",4.7,63,200,49.99,79.99,1,no,1
"transformers wireless earbuds bluetooth 5.4 open ear earbuds over the ear earphones with ear hooks,60h playtime,ipx5 waterproof,dual mic clear call,for running workout,tf-t07 sliver-optimus prime",4.2,154,200,23.99,32.99,1,no,1
"apc ups 1500va ups battery backup and surge protector, bx1500m backup battery power supply, avr, dataline protection",4.4,12343,8000,69.95,69.95,0,no,0
"soundcore anker life q20 hybrid active noise cancelling headphones, wireless over ear bluetooth headphones, 60h playtime, hi-res audio, deep bass, foam ear cups, travel, office, usb-c charging",4.5,89633,10000,69.95,69.95,0,no,0
"amazon basics 2 slice toaster, with 6 browning settings, extra wide slots for bagels and special breads, removable easy-to-clean crumb tray, cancel/defrost/bagel buttons, 900w, black & silver",4.3,37051,20000,23.74,23.74,0,no,1
"philips 22 inch class thin full hd (1920 x 1080) monitor, 100hz refresh rate, vesa, hdmi x1, vga x1, lowblue mode, adaptive sync, 4 year advance replacement warranty, 221v8lb",4.6,7425,10000,69.95,69.95,0,no,0
"sandisk 128gb ultra flair usb 3.0 flash drive - sdcz73-128g-g46, black",4.6,195798,10000,13.29,13.29,0,no,1
"beats studio pro - wireless bluetooth noise cancelling headphones - personalized spatial audio, usb-c lossless audio, apple & android compatibility, up to 40 hours battery life - sandstone",4.5,22266,7000,69.95,69.95,0,no,0
"hp 58a black toner cartridge | works with hp laserjet enterprise m406 series, mfp m430 series, pro m404 series, m428 series | cf258a",4.7,2965,7000,69.95,69.95,0,no,0
"acer kb272 g0bi 27"" ips full hd (1920 x 1080) gaming office monitor | adaptive-sync support (freesync compatible) | up to 120hz refresh | 1ms (vrb) | srgb 99% | tilt | hdmi & vga ports",4.4,1101,9000,108.99,149.99,0,no,1
